Indicadores Municipais
População1.1 %R.Líquida Total2.1 D.Total Saúde/Hab2.2 %D.Pessoal/D.Total2.3 %D.com Medicamentos2.4 %D.Serv.Terc/D.Total2.5 %D.Invest/D.TotalR.Transf.SUSD.R.PrópriosD.Total Saúde por Munic-BR
Período:2013
"Munic-BR";"População";"1.1_%R.Líquida_Total";"2.1_D.Total_Saúde/Hab";"2.2_%D.Pessoal/D.Total";"2.3_%D.com_Medicamentos";"2.4_%D.Serv.Terc/D.Total";"2.5_%D.Invest/D.Total";"R.Transf.SUS";"D.R.Próprios";"D.Total_Saúde"
"110143 Nova União";7883;3,91;387,57;66,95;3,33;4,61;0,10;1029881,64;1923470,68;3055232,41
"110050 Novo Horizonte do Oeste";10515;3,09;435,49;71,86;0,89;6,68;10,11;1890044,58;2848474,55;4579144,16
"110015 Ouro Preto do Oeste";40099;10,22;424,15;74,80;3,03;5,22;7,29;6227410,19;8940906,34;17007974,27
"110145 Parecis";5477;2,81;777,74;41,71;0,00;5,30;41,41;1139135,31;1708648,35;4259662,08
"110018 Pimenta Bueno";36939;11,71;419,02;58,97;5,25;13,39;3,76;5971464,37;10270822,13;15478069,69
"110146 Pimenteiras do Oeste";2440;1,93;1529,64;64,77;4,21;5,69;12,63;602414,21;2368216,89;3732309,98
"110020 Porto Velho";484992;26,41;417,09;70,37;2,16;9,20;2,37;82266240,42;119254334,08;202284338,76
"110025 Presidente Médici";23017;10,39;431,20;69,10;6,27;4,82;2,01;5241888,07;4896840,72;9924955,44
"110147 Primavera de Rondônia";3597;2,39;725,06;69,46;2,74;4,22;4,37;1153331,04;1580371,34;2608023,66
"110026 Rio Crespo";3666;3,63;811,00;80,06;3,56;3,76;4,23;690471,47;2286408,16;2973129,78
"110028 Rolim de Moura";55357;12,26;463,59;74,80;0,00;2,41;2,08;10111834,19;15707056,11;25663211,51
"110029 Santa Luzia D'Oeste";8887;5,11;484,02;65,17;0,30;6,39;16,62;2004342,22;2506319,72;4301528,15
"110148 São Felipe D'Oeste";6219;2,11;482,07;73,95;0,00;5,32;3,04;865471,90;1982605,74;2998007,13
"110149 São Francisco do Guaporé";18265;6,24;521,64;43,45;0,00;8,26;31,20;4495878,34;3933876,84;9527764,95
"110032 São Miguel do Guaporé";23668;3,96;431,48;71,50;0,00;3,82;7,11;3101393,06;6969766,54;10212156,41
"110150 Seringueiras";12505;5,35;488,05;72,45;0,65;4,32;7,29;2229621,48;3819082,39;6103076,34
"110155 Teixeirópolis";5080;3,95;684,83;67,03;2,53;8,05;13,44;874293,41;2189906,12;3478926,83
"110160 Theobroma";11343;2,98;340,26;90,53;0,00;0,00;8,84;1679309,90;2286078,33;3859566,07
"110170 Urupá";13491;4,94;319,29;73,62;5,76;6,39;5,56;2426014,82;2400400,49;4307506,42
"110175 Vale do Anari";10518;2,18;361,17;74,35;0,00;8,20;0,00;1414211,97;2509483,64;3798767,28
"110180 Vale do Paraíso";8425;3,81;513,03;79,15;0,73;4,45;1,49;1981473,14;2472133,69;4322286,08
"110030 Vilhena";87727;13,51;559,96;57,58;0,00;6,98;6,46;24386654,53;21659038,75;49123508,45
"120001 Acrelândia";13353;3,69;407,52;57,57;10,58;10,51;10,06;2777450,71;1912260,26;5441663,03
"120005 Assis Brasil";6480;2,59;332,19;36,30;25,91;9,15;10,65;1380910,98;1123027,35;2152611,46
"120010 Brasiléia";22899;3,78;297,26;55,01;0,00;3,16;4,33;3911957,02;3005782,88;6807063,98
"120013 Bujari";9003;3,32;311,18;16,99;0,00;13,84;0,61;1434967,59;1297748,34;2801526,87
"120017 Capixaba";9836;4,78;300,07;55,14;0,00;3,58;9,77;1620955,65;1358796,78;2951505,35
"120020 Cruzeiro do Sul";80377;13,41;284,13;65,24;0,00;4,48;12,85;12868977,94;10229973,75;22837263,38
"120025 Epitaciolândia";16099;5,90;269,68;44,42;0,00;6,01;3,98;2350283,50;1913522,65;4341511,35
"120030 Feijó";32411;4,59;201,15;66,97;19,40;2,84;5,40;2990233,31;3519460,00;6519521,51
"120032 Jordão";7147;1,80;318,67;58,39;3,93;3,22;6,65;1470717,31;1150504,61;2277520,24
"120033 Mâncio Lima";16410;3,90;298,25;55,59;0,00;4,08;14,72;2867601,45;1963137,20;4894219,65
"120034 Manoel Urbano";8386;3,19;278,15;67,05;3,63;2,08;13,01;991340,57;1320039,72;2332549,09
"120035 Marechal Thaumaturgo";15857;1,98;258,17;41,58;8,06;3,29;10,68;2296347,27;1735871,21;4093743,40
"120038 Plácido de Castro";17795;3,88;342,51;56,37;0,00;14,38;2,32;3512700,39;2826320,69;6095010,89
"120080 Porto Acre";16029;3,20;261,93;62,91;7,28;6,68;0,56;2272197,95;2154854,04;4198500,60
"120039 Porto Walter";10143;1,66;217,30;56,57;3,61;2,62;13,02;1323724,87;1224841,47;2204038,03
"120040 Rio Branco";357194;13,53;268,85;58,07;8,89;10,42;7,63;35614908,20;63226286,43;96031008,69
"120042 Rodrigues Alves";15968;2,18;221,97;53,05;0,00;5,00;9,99;2094127,07;1686698,47;3544426,11
"120043 Santa Rosa do Purus";5374;0,95;477,78;32,83;18,12;12,39;23,10;954591,73;1172499,77;2567569,14
"120050 Sena Madureira";40311;4,73;252,89;69,18;0,00;5,57;0,56;5394356,21;4660370,12;10194308,00
"120045 Senador Guiomard";20799;6,39;310,45;60,79;14,74;6,31;0,00;3509572,55;2912513,16;6457100,90
"120060 Tarauacá";37571;4,23;209,85;29,49;0,00;2,81;6,00;4846123,96;3800259,30;7884379,70
"120070 Xapuri";17021;3,03;273,28;40,57;14,86;14,11;9,69;3194141,08;2405854,25;4651470,69
"130002 Alvarães";15166;1,63;375,19;64,69;0,00;8,70;8,10;2297728,21;3392384,37;5690112,96
"130006 Amaturá";10436;2,16;274,01;54,06;1,02;4,52;2,28;961674,36;1943764,04;2859579,98
"130008 Anamã";11636;2,25;305,39;45,51;0,85;5,88;0,58;1512296,67;2367278,87;3553559,83
"130010 Anori";18351;3,25;261,06;52,37;1,54;2,26;2,78;2091638,27;3242758,56;4790630,57
"130014 Apuí";19860;3,16;314,14;44,73;0,83;1,56;2,04;3421499,89;4265477,43;6238741,82
"130020 Atalaia do Norte";17174;2,60;270,04;55,72;1,09;9,38;8,94;2297981,63;3093503,46;4637715,14
"130030 Autazes";35554;4,81;301,23;48,78;0,07;3,05;6,94;6945946,05;5083530,21;10710089,76
"130040 Barcelos";27110;4,16;245,83;67,67;2,00;4,22;19,39;2518506,81;4123273,57;6664395,38
"130050 Barreirinha";29737;2,33;259,24;68,56;5,23;4,59;10,29;3251762,61;4263215,59;7708959,34
"130060 Benjamin Constant";37564;2,15;231,43;66,92;2,60;1,45;1,22;4454199,85;4718472,07;8693540,77
"130063 Beruri";17332;2,17;318,82;69,62;14,23;2,96;0,80;1942106,61;4208173,33;5525786,94
"130068 Boa Vista do Ramos";16820;3,11;252,52;40,58;1,64;7,46;3,08;1595463,77;2756645,38;4247375,56
"130070 Boca do Acre";32792;2,71;284,61;64,92;2,24;5,03;1,46;4164640,86;4900828,28;9333016,03
"130080 Borba";38073;2,78;296,06;39,20;1,61;3,74;2,68;7308392,33;4931897,32;11272021,19
"130083 Caapiranga";12004;2,65;379,98;68,94;0,00;2,09;5,56;2288407,51;2955398,39;4561235,72
"130090 Canutama";14754;2,45;326,95;68,73;16,53;2,54;1,72;1821425,51;2739187,35;4823773,59
"130100 Carauari";27405;8,20;229,68;43,54;3,11;6,00;3,67;2764690,62;3997927,81;6294252,94
"130110 Careiro";35431;3,89;253,45;47,83;1,74;2,66;12,70;4583289,89;4386711,13;8979860,55
"130115 Careiro da Várzea";26722;3,24;257,18;67,24;3,52;1,32;1,74;2840985,48;3569928,65;6872484,70
"130120 Coari";81325;17,83;709,32;59,12;0,00;13,27;1,87;12717734,20;30134843,95;57685356,58
"130130 Codajás";25696;3,11;226,08;63,10;1,91;7,37;2,02;2067904,11;4162231,71;5809231,99
"130140 Eirunepé";33127;1,02;274,30;50,39;8,48;18,02;3,40;4579444,47;4407027,70;9086860,00
"130150 Envira";18051;1,67;228,15;36,84;0,00;3,06;10,25;1884643,13;3149429,05;4118373,63
"130160 Fonte Boa";21859;2,52;398,25;54,32;12,64;1,90;4,07;4487352,96;3021272,96;8705264,87
"130165 Guajará";15291;2,09;306,92;42,98;5,90;7,82;7,67;2317805,27;2507999,60;4693046,25
"130170 Humaitá";49137;5,53;221,58;32,88;0,00;2,58;14,08;10597211,92;10887779,53;10887779,53
"130180 Ipixuna";25362;4,00;261,35;68,38;0,00;8,78;2,16;2196940,01;3048541,99;6628232,06
"130185 Iranduba";44503;4,98;303,16;29,26;1,63;11,22;2,40;9021573,40;4450310,30;13491321,83
"130190 Itacoatiara";94278;7,87;414,82;73,76;2,57;7,80;1,23;18915342,82;18867870,19;39108856,86
"130195 Itamarati";8232;1,78;435,95;33,88;8,16;3,41;15,80;1605325,46;2009858,05;3588706,92
"130200 Itapiranga";8774;20,58;449,08;60,05;0,00;1,19;5,85;1982980,06;2777530,55;3940248,47
"130210 Japurá";6083;3,18;688,17;69,18;0,70;8,00;2,50;1383040,76;2855306,78;4186124,23
"130220 Juruá";12408;2,91;341,93;46,38;1,17;4,89;6,38;1146259,16;2879925,49;4242715,91
"130230 Jutaí";17376;2,38;344,16;55,37;0,00;1,08;0,18;2530226,46;3438951,21;5980056,04
"130240 Lábrea";41600;3,46;331,02;38,98;1,22;14,44;0,92;5112010,77;9145897,85;13770510,83
"130250 Manacapuru";91795;4,30;323,19;66,96;0,00;9,03;5,79;15055703,33;14417309,89;29667183,45
"130255 Manaquiri";26530;2,48;216,05;64,59;4,33;6,43;0,13;3111663,30;3555502,40;5731720,17
"130260 Manaus";1982179;25,17;339,36;66,38;2,15;15,59;2,99;143163339,54;533780233,49;672672488,89
"130270 Manicoré";51331;2,83;271,59;37,14;18,15;3,22;3,78;6865893,19;6477522,11;13940908,40
"130280 Maraã";18310;1,34;374,46;39,87;12,54;3,50;14,05;2468966,84;3069852,50;6856351,18
"130290 Maués";57663;3,37;332,35;71,36;1,36;2,58;1,62;10313465,41;10844571,81;19164131,91
"130300 Nhamundá";19792;1,74;218,44;49,26;16,19;6,73;2,40;3009167,06;2838353,53;4323420,52
"130310 Nova Olinda do Norte";33829;3,49;254,57;28,89;0,00;6,92;1,05;4415184,71;3999535,56;8611839,17
"130320 Novo Airão";16719;1,71;326,62;48,35;0,00;40,22;1,27;1775802,98;3267649,89;5460821,57
"130330 Novo Aripuanã";23486;1,91;245,91;69,07;0,00;5,38;0,36;2318724,39;3426250,65;5775467,41
"130340 Parintins";109225;6,25;396,00;22,52;5,89;9,45;2,88;19045923,99;13464564,98;43252697,56
"130350 Pauini";19149;2,01;282,63;59,15;1,65;3,70;4,82;2392022,88;3491989,17;5412141,47
"130353 Presidente Figueiredo";30978;5,61;839,56;77,81;0,18;4,78;3,57;5694113,76;19301495,87;26007751,24
"130356 Rio Preto da Eva";28999;6,59;292,43;39,31;0,54;2,41;5,60;6327624,99;3548036,77;8480127,65
"130360 Santa Isabel do Rio Negro";20986;2,49;260,69;34,63;25,09;22,42;3,20;2166138,71;3331190,39;5470742,82
"130370 Santo Antônio do Içá";24327;2,41;279,39;51,08;2,14;8,43;6,57;3826427,32;3408590,05;6796608,46
"130380 São Gabriel da Cachoeira";41575;3,00;306,98;59,79;3,57;9,58;0,61;6531121,17;6907497,16;12762863,85
"130390 São Paulo de Olivença";34963;2,91;256,09;46,14;0,00;6,25;1,40;3779672,81;5666736,56;8953623,15
"130395 São Sebastião do Uatumã";12115;5,32;337,60;67,08;1,06;5,40;13,55;1510964,01;2634454,37;4090049,61
"130400 Silves";8946;21,04;474,55;49,03;1,20;8,43;12,68;1379091,60;3049298,75;4245315,45
"130406 Tabatinga";58314;2,85;274,28;41,67;2,86;2,97;6,46;6407275,53;7918061,67;15994479,63
"130410 Tapauá";18383;1,93;365,76;53,53;0,91;0,23;0,29;2838881,24;3686004,56;6723804,78
"130420 Tefé";62885;6,98;460,49;63,84;0,00;2,29;1,66;12826383,92;13338403,48;28958225,17
"130423 Tonantins";18162;1,74;388,85;55,17;3,49;2,75;3,22;2408182,49;4158168,96;7062308,14
"130426 Uarini";12801;1,44;316,05;58,27;0,00;7,13;4,32;1646498,44;2323698,74;4045765,46
"130430 Urucará";17367;7,71;431,05;33,93;0,00;0,94;15,34;2637213,88;3334344,47;7486114,01
"130440 Urucurituba";20091;2,67;339,20;53,29;0,00;6,51;12,14;2801030,87;2212279,06;6814792,20
"140005 Alto Alegre";16428;4,10;429,37;54,92;4,02;28,63;1,56;4417371,06;1274077,41;7053740,15
"140002 Amajari";10432;8,03;255,13;50,04;2,67;5,87;28,52;1561321,46;1282451,97;2661561,05
"140010 Boa Vista";308996;12,13;434,92;63,57;0,00;7,81;4,46;40856827,67;78989258,35;134387942,32
"140015 Bonfim";11525;7,92;387,73;64,86;0,88;4,95;8,11;3153342,07;1223325,48;4468601,73
"140017 Cantá";15393;5,49;352,92;27,01;1,52;19,65;47,76;2039216,70;1281349,85;5432466,24
"140020 Caracaraí";19696;6,52;414,73;58,41;5,75;5,61;8,43;4490786,35;2711859,47;8168607,10
"140023 Caroebe";8826;5,47;295,42;75,95;0,00;12,04;0,00;1650090,49;1136103,06;2607372,97
"140028 Iracema";9762;5,42;407,04;40,20;7,06;5,93;23,00;2761099,34;1782258,89;3973477,02
"140030 Mucajaí";15890;8,08;228,26;76,58;5,84;7,36;1,45;2955824,03;1680230,00;3627033,08
"140040 Normandia";9754;1,99;262,67;56,57;7,42;13,66;9,20;2881093,44;827525,33;2562090,99
"140045 Pacaraima";11423;4,68;371,46;67,67;0,27;6,44;5,79;3266610,12;1124809,31;4243219,92
"140047 Rorainópolis";26326;5,64;287,84;68,13;1,76;5,62;10,26;4559297,83;2526930,55;7577786,11
"140050 São João da Baliza";7284;2,62;336,77;59,45;2,44;6,12;7,03;1152745,93;974299,68;2453038,04
"140060 São Luiz";7210;3,61;321,60;67,26;1,59;5,38;13,93;1434699,51;858501,38;2318722,18
"140070 Uiramutã";9127;0,09;316,07;35,16;2,21;4,57;16,43;1203734,94;739652,86;2884746,86
"150010 Abaetetuba";147267;3,49;262,73;44,22;0,00;10,60;2,85;25400615,87;15504169,17;38690756,96
"150013 Abel Figueiredo";7013;1,22;531,33;37,52;2,54;8,00;7,57;1860994,37;1808125,01;3726205,29
"150020 Acará";54030;4,40;262,08;57,33;0,32;10,35;14,45;9562516,58;4555756,58;14160017,90
"150030 Afuá";36598;2,07;202,55;49,04;7,20;3,16;7,22;2865965,64;4183645,24;7412780,96
"150034 Água Azul do Norte";25899;3,90;368,88;44,46;0,00;21,20;4,76;6133578,63;3410340,85;9553670,23
"150040 Alenquer";54035;1,86;326,99;35,82;0,00;34,20;3,80;12725025,49;5282580,69;17669103,80
"150050 Almeirim";33562;14,77;551,19;33,26;2,85;4,11;15,57;7843108,00;10656031,90;18499139,90
"150060 Altamira";105106;24,48;362,54;37,54;0,00;8,80;3,24;20605586,39;20861560,78;38105127,88
"150070 Anajás";26547;0,65;273,96;57,83;0,00;1,61;3,83;3091932,38;4180806,98;7272739,36
"150080 Ananindeua";493976;10,35;318,46;47,46;3,37;24,53;9,37;117525661,23;34316895,00;157313839,23
"150085 Anapu";23609;9,59;409,36;39,51;0,00;3,37;22,47;6125850,28;3788134,04;9664586,35
"150090 Augusto Corrêa";42591;3,24;262,87;40,54;3,12;6,23;6,11;7685220,63;3181639,92;11195975,69
"150095 Aurora do Pará";28441;3,44;314,93;45,78;0,00;9,43;1,20;4686266,20;4267518,81;8956884,93
"150100 Aveiro";15959;1,17;379,89;50,42;12,34;4,50;11,08;2158041,85;3548680,62;6062684,07
"150110 Bagre";26666;0,28;189,72;54,37;9,96;1,19;3,84;1663634,33;2376511,19;5059110,91
"150120 Baião";41232;1,96;275,48;41,06;3,92;23,70;4,98;7347073,91;3968343,70;11358707,42
"150125 Bannach";3340;2,04;878,10;54,26;12,48;13,49;5,55;1579931,78;1334806,89;2932853,87
"150130 Barcarena";109975;18,25;393,40;74,91;0,00;5,78;1,53;16873083,12;22686727,74;43264122,37
"150140 Belém";1425923;22,47;412,73;46,83;3,14;32,94;0,53;347188642,38;260968777,65;588523442,38
"150145 Belterra";16808;3,29;340,71;50,25;0,00;3,56;1,25;3338701,90;2320419,85;5726571,53
"150150 Benevides";56112;11,50;315,45;40,18;4,89;13,03;5,55;11988290,96;6894464,16;17700403,24
"150157 Bom Jesus do Tocantins";15916;4,57;462,07;30,21;5,27;5,84;7,54;4214835,62;2913481,04;7354326,00
"150160 Bonito";14689;0,38;315,17;46,98;2,33;13,87;8,41;4527896,00;2187711,83;4629564,23
"150170 Bragança";118678;3,88;210,84;74,92;0,00;7,77;4,30;15239001,19;6979299,90;25022193,15
"150172 Brasil Novo";15300;6,88;481,71;24,89;0,00;11,66;8,49;4935216,73;2614003,17;7370179,90
"150175 Brejo Grande do Araguaia";7285;4,63;523,32;25,70;3,16;3,10;16,35;2304690,99;1501430,37;3812414,39
"150178 Breu Branco";58033;4,43;270,76;52,38;4,87;9,26;10,86;7653260,44;7437868,67;15713267,56
"150180 Breves";96444;3,06;269,33;54,57;13,54;7,94;5,42;19248915,31;8079579,49;25975277,05
"150190 Bujaru";27000;0,68;254,74;22,79;0,00;7,49;13,40;3230693,57;2874593,22;6877895,62
"150200 Cachoeira do Arari";21740;2,19;250,35;62,59;8,81;2,10;0,28;3148089,71;2290128,80;5442579,86
"150195 Cachoeira do Piriá";29533;0,88;236,56;71,17;0,00;5,41;2,37;3376129,91;3135000,00;6986187,99
"150210 Cametá";127401;1,78;193,16;60,09;2,51;25,80;2,36;15891047,43;5536224,66;24608789,12
"150215 Canaã dos Carajás";31062;36,47;1262,37;70,78;2,56;6,83;4,36;6907136,38;31722118,71;39211862,49
"150220 Capanema";65498;7,57;470,15;23,99;1,65;29,67;0,00;22256523,71;6093966,79;30793951,19
"150230 Capitão Poço";52537;2,84;247,83;37,03;0,00;27,29;6,49;9295893,69;4507991,53;13020051,12
"150240 Castanhal";183917;6,33;443,99;51,15;0,00;34,22;2,98;52823936,94;23506121,93;81657263,80
"150250 Chaves";22029;0,46;205,91;47,58;14,69;5,97;1,79;2103708,55;2389401,68;4535919,21
"150260 Colares";11600;0,85;359,05;64,81;6,05;5,38;2,60;2349826,91;1852625,29;4165012,25
"150270 Conceição do Araguaia";46206;5,38;344,76;45,52;2,52;21,04;5,80;12041561,38;4393138,02;15929815,69
"150275 Concórdia do Pará";30233;3,56;419,47;33,00;0,00;8,93;4,36;4574926,85;3679291,98;12681964,76
"150276 Cumaru do Norte";11704;4,61;627,19;37,74;7,60;14,86;25,33;2715436,77;4617486,69;7340615,62
"150277 Curionópolis";17983;15,41;477,00;37,58;3,74;4,62;1,28;3682575,94;4590189,56;8577943,78
"150280 Curralinho";30915;2,08;258,12;56,67;4,33;3,71;9,54;5124555,62;3343135,59;7979872,90
"150285 Curuá";13097;0,44;264,60;50,17;8,11;7,13;1,22;1823082,10;1643999,37;3465492,67
"150290 Curuçá";36557;5,50;355,64;50,61;2,38;5,52;7,81;8477098,85;3501078,46;13001078,46
"150293 Dom Eliseu";54602;5,63;289,56;30,61;5,16;18,81;7,90;9897866,88;5522794,28;15810616,76
"150295 Eldorado dos Carajás";32420;2,20;315,50;45,20;10,88;31,43;0,72;6385699,79;3778904,42;10228577,51
"150300 Faro";7680;3,02;426,42;74,26;2,68;6,26;0,37;1386575,23;1685425,35;3274888,73
"150304 Floresta do Araguaia";18741;5,23;382,98;46,45;6,62;4,29;7,72;3916969,74;3259356,54;7177386,17
"150307 Garrafão do Norte";25287;1,14;345,21;52,55;0,10;12,54;0,42;4207540,75;3729000,00;8729316,70
"150309 Goianésia do Pará";36500;3,84;325,78;66,54;0,00;12,44;3,25;5594123,99;6160115,95;11891113,86
"150310 Gurupá";30727;1,79;222,07;60,48;1,67;3,38;1,79;4207470,28;2615937,66;6823407,94
"150320 Igarapé-Açu";36883;4,32;331,88;37,77;3,40;4,11;6,29;8998148,36;3143265,16;12240866,40
"150330 Igarapé-Miri";59644;2,71;329,52;41,73;0,00;14,14;5,21;12359284,46;5125958,25;19654054,82
"150340 Inhangapi";10693;0,46;170,22;57,09;0,00;7,29;11,12;1148170,88;1150000,00;1820172,00
"150345 Ipixuna do Pará";54609;5,67;275,27;44,32;3,35;22,47;6,13;8224706,76;5380936,17;15032235,00
"150350 Irituia";31634;1,78;258,22;50,57;6,52;5,24;6,01;5555183,72;3180350,69;8168625,57
"150360 Itaituba";98363;8,23;347,06;63,26;0,00;7,50;4,32;19302139,77;13024660,61;34138109,91
"150370 Itupiranga";51711;2,74;277,02;52,66;3,53;14,86;3,30;8903336,02;5314676,36;14324885,56
"150375 Jacareacanga";41487;26,15;229,48;42,93;3,41;5,00;2,86;2915103,43;6468074,05;9520280,14
"150380 Jacundá";54376;0,75;284,85;59,51;14,73;18,54;1,93;8390688,46;4821138,59;15488934,29
"150390 Juruti";51483;15,01;356,53;53,53;2,94;14,53;2,22;7715083,14;9596271,76;18355018,19
"150400 Limoeiro do Ajuru";26542;1,42;304,26;59,42;4,75;3,56;4,15;4603991,24;3120200,00;8075737,98
"150405 Mãe do Rio";28636;1,93;408,61;61,77;0,00;9,04;0,85;6325179,46;3096469,88;11700887,51
"150410 Magalhães Barata";8240;1,63;309,78;60,49;0,00;2,85;6,51;1447751,52;1148927,61;2552617,76
"150420 Marabá";251885;22,49;448,14;55,51;5,72;14,93;2,67;45311519,23;60407292,66;112879034,19
"150430 Maracanã";28631;1,30;313,30;52,44;5,56;9,75;0,67;6209114,10;3348630,76;8970055,69
"150440 Marapanim";27153;1,10;81,57;76,05;0,00;6,94;1,87;3171259,62;1875000,00;2214790,50
"150442 Marituba";117614;5,26;386,86;39,23;0,00;38,70;1,15;43621837,53;10099930,93;45499865,62
"150445 Medicilândia";28987;5,64;321,75;43,51;5,46;7,96;0,59;5133359,67;3818662,99;9326522,95
"150450 Melgaço";25860;0,27;278,35;66,39;9,55;3,16;5,55;4106618,65;4147998,03;7198146,04
"150460 Mocajuba";28454;1,55;218,29;35,69;0,00;3,03;0,13;4529794,50;2289097,11;6211141,75
"150470 Moju";74768;4,61;241,21;38,65;14,54;19,65;3,78;12009402,78;7259989,03;18034532,96
"150475 Mojuí dos Campos";15232;3,96;169,96;61,42;0,00;26,52;0,91;356787,62;2182414,32;2588762,94
"150480 Monte Alegre";56147;3,24;311,23;43,42;2,72;26,20;2,18;10246730,73;7079042,48;17474686,52
"150490 Muaná";36632;1,15;243,39;50,36;0,00;9,27;0,27;7303872,41;5835965,27;8915861,79
"150495 Nova Esperança do Piriá";20528;0,68;364,64;45,48;3,08;7,29;15,70;4125528,12;2817559,00;7485425,12
"150497 Nova Ipixuna";15422;3,53;415,15;54,55;5,77;6,41;14,15;3394151,45;2173062,79;6402471,29
"150500 Nova Timboteua";14305;2,38;339,69;31,61;4,04;5,13;16,86;2594969,13;1740427,61;4859293,24
"150503 Novo Progresso";25203;7,38;534,67;56,29;3,62;6,35;14,69;5236457,56;6801416,05;13475208,29
"150506 Novo Repartimento";67652;4,19;309,22;63,82;5,04;4,92;5,74;9122671,39;8749751,60;20919239,82
"150510 Óbidos";50171;1,92;239,92;63,00;0,00;21,80;1,51;8008605,94;4028387,24;12036993,18
"150520 Oeiras do Pará";30088;1,91;230,95;51,94;0,00;3,23;7,57;3984923,35;2743781,37;6948685,01
"150530 Oriximiná";66821;15,06;452,92;64,66;3,45;12,24;1,90;9562425,36;19984079,93;30264454,94
"150540 Ourém";16854;4,02;385,84;33,16;0,00;3,11;11,49;4172607,53;2659397,90;6502923,00
